course_id,course_title,price,num_subscribers,num_lectures,level
1070968,Ultimate Investment Banking Course,200,2147,51,All Levels
1113822,Complete GST Course & Certification - Grow Your CA Practice,75,2792,274,All Levels
1006314,Financial Modeling for Business Analysts and Consultants,45,2174,51,Intermediate Level
1210588,Beginner to Pro - Financial Analysis in Excel 2017,95,2451,36,All Levels
1011058,How To Maximize Your Profits Trading Options,200,1276,26,Intermediate Level
192870,Trading Penny Stocks: A Guide for All Levels In 2017,150,9221,25,All Levels
739964,Investing And Trading For Beginners: Mastering Price Charts,65,1540,26,Beginner Level
403100,"Trading Stock Chart Patterns For Immediate, Explosive Gains",95,2917,23,All Levels
476268,Options Trading 3 : Advanced Stock Profit and Success Method,195,5172,38,Expert Level
1167710,The Only Investment Strategy You Need For Your Retirement,200,827,15,All Levels
592338,Forex Trading Secrets of the Pros With Amazon's AWS,200,4284,76,All Levels
975046,Trading Options With Money Flow,200,1380,17,All Levels
742602,Financial Management Risk and Return For Securities,30,3607,19,All Levels
794151,Forex Trading Course: Work Smarter Not Harder Proven Results,195,4061,16,All Levels
1196544,Python Algo Trading: Sentiment Trading with News,200,294,42,All Levels
504036,Short Selling: Learn To Sell Stocks Before The Fall,75,2276,19,Intermediate Level
719698,Basic Technical Analysis: Learn the structure of the market,20,4919,16,Beginner Level
564966,The Complete Chart Pattern Trading Course: A Proven Approach,200,2666,52,All Levels
606928,7 Deadly Mistakes of Investing that Will Slash Your Profits!,50,5354,23,All Levels
58977,Financial Statements Made Easy,95,8095,12,Beginner Level
1242604,Winning Forex Trading with Live Forex Trading Examples,200,809,25,All Levels
798740,Forex Traders - Create Your First Trading Robot. No Coding!,200,2295,39,All Levels
506568,Create A Business From Home Trading Stocks Today In 2017,75,10149,16,All Levels
1020760,Introduction to Accounting : Mastering Financial Statements,50,1916,23,Beginner Level
859742,The Complete Ethereum Course: Get .01 Ether In Your Wallet,45,2507,40,All Levels
383414,Beginner to Pro in PowerPoint: Complete PowerPoint Training,150,5786,50,All Levels
353044,Investing 101: The Complete Online Investing Course,200,5334,42,All Levels
447362,Create Your Own Hedge Fund: Trade Stocks Like A Fund Manager,175,4005,25,Intermediate Level
831066,Learn MQL5: Build an 8-Currency Hedging Robot (MetaTrader 5),150,2877,81,All Levels
1266306,Forex Trading: Your Complete Guide to Get Started Like a Pro,140,1026,37,Beginner Level
1170894,Python Algo Stock Trading: Automate Your Trading!,95,1165,41,Beginner Level
948974,THE Forex Robot: Incredible ROI (Robot Included),200,1843,35,All Levels
380970,The Complete Bitcoin Course: Get .001 Bitcoin In Your Wallet,45,8797,80,All Levels
1217778,Mastering High Probability Iron Condor Options Trading,200,1030,22,All Levels
1246208,The Complete Short Course on Ethereum,200,1041,28,All Levels
434774,Options Trading Stocks: Proven Toolbox For Financial Success,195,7884,68,Intermediate Level
308690,Forex Trading A-Z™ - With LIVE Examples of Forex Trading,195,16900,52,Beginner Level
888716,"Introduction to Finance, Accounting, Modeling and Valuation",200,11441,61,All Levels
321410,Beginner to Pro in Excel: Financial Modeling and Valuation,195,22257,138,All Levels
965832,The Complete Investment Banking Course 2017,195,8575,110,All Levels
648826,The Complete Financial Analyst Course 2017,195,24481,174,All Levels
1035472,Python for Finance: Investment Fundamentals & Data Analytics,195,3811,103,All Levels
1154754,Financial Modeling for Startups & Small Businesses,195,4991,79,Beginner Level
627540,Options Trading - How to Win with Weekly Options,115,7489,25,Intermediate Level
301442,Black Algo Trading: Build Your Trading Robot,200,20195,227,All Levels
640100,Accounting & Financial Statement Analysis: Complete Training,150,10042,43,All Levels
1247394,Cryptocurrency Trading: Complete Guide To Trading Altcoins,95,367,35,All Levels
260470,Forex Robots: Expect To Earn 175% P.A. Forex Robot Included!,200,10603,42,All Levels
1214702,Three Steps Trading - Live Trading - Real Account,190,1197,46,All Levels
848664,Option Trading for Rookies:  Understand Options Completely,150,2893,62,All Levels
1142570,How I Learned Stock Trading (and How You Can Too),200,1580,53,Expert Level
325834,Learn to Trade for Profit: Find and Trade Winning Stocks,95,10605,77,All Levels
411168,Trading Inside Bars - Master 1 Easy Pattern To Be Successful,125,2996,23,Intermediate Level
885974,Four Fundamentals of Financial Planning,30,6219,20,All Levels
1151092,Options Trading - Calendar Spread Course for Every Trader,200,1113,17,All Levels
358326,Dividend Investing: Build Your Portfolio for a Better Future,60,8314,47,Beginner Level
153210,Learn Accounting. Understand Business.,200,5572,33,Beginner Level
834836,How to Consistently Win Trading Stocks in 30 Days or Less,145,1433,15,Intermediate Level
1171994,A Beginner's Guide to Quantopian Futures API,20,936,11,Intermediate Level
1239068,How to Buy Cheap Options - Options Trading Pricing Model,200,658,19,All Levels
985922,Excel Crash Course: Master Excel for Financial Analysis,105,8121,40,All Levels
765562,"Comprehensive Guide to Financial Markets, Investing &Trading",60,4187,79,Beginner Level
165964,Stock Trading Ninja: Complete System For Trading Success,155,9445,38,All Levels
855172,Hedge and Mutual Fund Careers: The Complete Guide,200,3255,102,All Levels
258232,Algorithmic Trading In Forex: Create Your First Forex Robot!,185,7941,40,All Levels
994754,The Power Modeling Bootcamp: Advanced Excel in 10 Days,150,1680,76,All Levels
43319,Options Trading Basics (3-Course Bundle),180,10100,45,Beginner Level
408440,How to Win 97% of Your Options Trades,125,5050,26,All Levels
918688,How I Make Consistent Returns Trading Options,200,2310,26,All Levels
308694,"Forex Strategies: Kelly Criterion, Larry Williams and more!",185,5528,32,All Levels
199450,"Elite Trend Trader: Learn To Trade Stocks, Options & Forex",125,6451,28,All Levels
401784,Options Trading Introduction: Day Trade Stock Options,95,12394,30,Beginner Level
1122792,The Almost Perfect Options Trading Strategy System - Unique,200,1793,15,All Levels
709500,Forex Trading -  Learn to Trade Forex Like the Banks,20,3223,23,All Levels
285638,Learn to Trade for Profit:Trading with Japanese Candlesticks,60,16385,45,Beginner Level
1135126,The Most Powerful Options Spread Trading Front Ratio Spread,200,1487,18,All Levels
834558,What Finance Job is for You? Explanation of 14 Finance Roles,200,2951,60,All Levels
551968,The Blueprint for Successful Stock Trading,120,2697,15,All Levels
1005658,Trading for Beginners - Intermediate Level,150,3979,39,Beginner Level
746432,Start Trading Stocks Using Technical Analysis!,25,3190,45,All Levels
1057242,Learn How to Set Up an Incubator Hedge Fund - Step-by-Step,200,1406,54,Expert Level
284118,VPS for Forex Trading - Protect Your Forex Robots,160,4252,24,All Levels
302562,Introduction to Accounting: The Language of Business,20,11958,134,Beginner Level
596598,Basic Excel for Basic Bookkeeping and Accounting,95,7743,33,Beginner Level
860890,"Using 'The Greeks To Understand Options""",50,2134,5,All Levels
951050,Trading Options For Consistent Returns: Calendar Spreads,200,1214,20,All Levels
796450,How to Create Your Personal Budget,20,3870,10,All Levels
502772,The Complete Value Investing Course: A Proven Approach,200,2146,49,All Levels
1102462,FOREX Trading with Price Action,195,484,19,Beginner Level
1062092,Emini ES Futures - Advanced Non Directional Options Trading,200,1057,14,All Levels
891484,Forex Trading - Advanced Fundamental Analysis,20,1754,49,Intermediate Level
1217064,How To Invest With Tiny Capital In Stocks ?,20,1239,6,Beginner Level
382204,Learn How To Successfully Trade Stocks: In 5 Simple Steps,95,2493,108,All Levels
308696,Forex MetaTrader 4: Master MT4 Like A Pro Forex Trader,150,2602,57,Beginner Level
474928,Intermediate Options trading concepts for Stocks and Options,40,2000,9,All Levels
1148774,Options Trading 101: The Basics,0,1514,11,Beginner Level
959144,Practical Accounts APP Overview,20,1361,14,Intermediate Level
1233350,Bitcoin Profits for Beginners,100,61,30,Beginner Level
