title,level,language,subtitles,price,n_enrolled
How to Learn Online,Introductory,English,English,49,124980.0
Programming for Everybody (Getting Started with Python),Introductory,English,English,49,293864.0
CS50's Introduction to Computer Science,Introductory,English,English,90,2442271.0
The Analytics Edge,Intermediate,English,English,199,129555.0
Marketing Analytics: Marketing Measurement Strategy,Introductory,English,English,249,81140.0
Introduction to Project Management,Introductory,English,English,199,301793.0
Leading High-Performing Teams,Intermediate,English,English,5,32847.0
The Foundations of Happiness at Work,Introductory,English,English,199,67073.0
"Managing Study, Stress and Mental Health at University",Introductory,English,English,49,23061.0
Six Sigma: Define and Measure,Introductory,English,English,99,92411.0
Fat Chance: Probability from the Ground Up,Introductory,English,English,49,66835.0
Chasing your Dream: How to End Procrastination and Get a Job You Love,Introductory,English,English,49,44711.0
Bitcoin and Cryptocurrencies,Introductory,English,English,99,83398.0
English Grammar and Style,Introductory,English,English,99,0.0
Ethics in Action,Intermediate,English,"English, Español, Русский",49,6366.0
Introduction to FinTech,Introductory,English,"English, 中文, 中文",199,72767.0
Data Science: R Basics,Introductory,English,English,49,528782.0
Python Basics for Data Science,Introductory,English,English,39,228809.0
The Science of Beer,Introductory,English,English,49,39085.0
CS50's Introduction to Artificial Intelligence with Python,Introductory,English,English,199,346748.0
CS50's Introduction to Game Development,Intermediate,English,English,149,320225.0
Rhetoric: The Art of Persuasive Writing and Public Speaking,Introductory,English,English,99,698950.0
CS50's Web Programming with Python and JavaScript,Intermediate,English,English,90,414181.0
Contract Law: From Trust to Promise to Contract,Intermediate,English,English,125,380167.0
"Fundamentals of Neuroscience, Part 1: The Electrical Properties of the Neuron",Introductory,English,English,99,392588.0
Justice,Introductory,English,"Deutsch, English, Español, Português, 中文",99,276209.0
Data Science: Machine Learning,Introductory,English,English,49,212453.0
Child Protection: Children's Rights in Theory and Practice,Introductory,English,English,99,1103777.0
IELTS Academic Test Preparation,Introductory,English,English,99,406181.0
The Architectural Imagination,Introductory,English,English,99,1022489.0
TOEFL® Test Preparation: The Insider’s Guide,Introductory,English,English,49,257600.0
Principles of Biochemistry,Intermediate,English,English,199,262183.0
Using Python for Research,Intermediate,English,English,99,140782.0
Hinduism Through Its Scriptures,Introductory,English,English,99,400169.0
Basic Spanish 1: Getting Started,Introductory,English,"English, Español",40,110024.0
The Health Effects of Climate Change,Introductory,English,English,99,79671.0
Inglés básico: conversacional y networking,Introductory,Español,"English, Español",49,314586.0
Statistics and R,Intermediate,English,English,249,145011.0
Science & Cooking: From Haute Cuisine to Soft Matter Science (chemistry),Introductory,English,English,199,123870.0
Pyramids of Giza: Ancient Egyptian Art and Archaeology,Introductory,English,English,99,91566.0
"PredictionX: Omens, Oracles & Prophecies",Introductory,English,English,25,284279.0
Excel: Fundamentos y herramientas,Introductory,Español,Español,50,91983.0
Lessons from Ebola: Preventing the Next Pandemic,Introductory,English,English,49,127353.0
Improving Global Health: Focusing on Quality and Safety,Intermediate,English,English,99,87336.0
CS50 for Lawyers,Introductory,English,English,99,171258.0
Data Science: Visualization,Introductory,English,English,49,125051.0
Christianity Through Its Scriptures,Introductory,English,English,99,475614.0
The Science of Happiness,Introductory,English,English,169,231131.0
Leaders of Learning,Introductory,English,"English, Español",99,57814.0
Exercising Leadership: Foundational Principles,Introductory,English,English,99,135859.0
Data Science: Probability,Introductory,English,English,49,117410.0
Introduction to Data Wise: A Collaborative Process to Improve Learning & Teaching,Intermediate,English,"English, Español",70,80082.0
"Prescription Drug Regulation, Cost, and Access: Current Controversies in Context",Introductory,English,English,99,105146.0
Introduction to Family Engagement in Education,Introductory,English,English,70,182462.0
